station;year;month;day;period;LAEQ;LAS01;LAS10;LAS50;LAS90;LAS99
48;2019;12;29;E;062.9;066.9;064.2;062.1;059.0;056.1
48;2019;12;29;N;060.1;065.6;063.0;059.4;053.0;048.2
48;2019;12;29;T;060.9;065.6;063.4;060.3;054.7;049.5
50;2019;12;29;D;063.5;069.0;065.3;061.6;056.9;053.5
50;2019;12;29;E;064.4;069.8;066.1;063.0;059.6;057.1
50;2019;12;29;N;061.2;067.3;064.2;059.5;054.2;050.8
50;2019;12;29;T;063.0;068.8;065.2;061.3;056.0;052.0
54;2019;12;29;D;059.2;065.9;062.4;057.8;050.3;047.1
54;2019;12;29;E;061.0;067.3;063.7;060.1;056.0;052.2
54;2019;12;29;N;055.6;064.7;059.5;051.5;044.5;041.7
54;2019;12;29;T;058.7;065.9;062.2;056.8;047.7;042.7
55;2019;12;29;D;055.0;063.4;057.8;051.6;046.9;043.0
55;2019;12;29;E;055.7;064.3;058.1;052.4;049.1;047.2
55;2019;12;29;N;051.8;061.6;054.7;048.2;043.5;041.5
55;2019;12;29;T;054.3;063.0;057.2;050.8;045.3;042.1
86;2019;12;29;D;055.5;065.8;059.0;049.7;042.9;039.8
86;2019;12;29;E;058.8;066.4;059.8;051.8;047.0;044.1
86;2019;12;29;N;050.0;062.1;051.5;041.5;038.9;038.0
86;2019;12;29;T;055.3;065.3;057.9;047.9;039.9;038.2
2;2019;12;28;D;068.9;075.0;070.7;068.0;063.5;060.2
2;2019;12;28;E;069.7;077.0;071.4;068.8;066.2;063.7
2;2019;12;28;N;068.4;073.3;069.9;066.4;061.7;058.4
2;2019;12;28;T;068.9;076.0;070.6;067.7;063.0;059.3
3;2019;12;28;D;061.1;069.6;063.8;059.0;053.3;048.3
3;2019;12;28;E;063.2;069.3;064.6;060.9;058.2;056.1
3;2019;12;28;N;060.7;070.6;063.2;057.4;053.3;050.8
3;2019;12;28;T;061.4;069.8;063.8;059.1;053.7;049.2
5;2019;12;28;D;060.3;066.3;062.5;058.7;053.9;049.3
5;2019;12;28;E;062.3;069.7;063.7;059.8;056.3;053.3
5;2019;12;28;N;054.6;063.1;058.1;051.3;044.9;042.1
5;2019;12;28;T;059.6;066.4;062.2;057.5;048.3;043.0
6;2019;12;28;D;069.4;076.3;072.9;066.6;061.1;055.0
6;2019;12;28;E;070.8;077.0;073.6;068.5;064.5;061.2
